,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2023-04-18,10.0,10.0,10.0,10.0,10.0,13,0.0
1,2023-03-31,10.45,10.45,9.71,10.0,10.0,803,0.0
2,2023-02-28,10.45,10.45,10.45,10.45,10.45,29,0.0
3,2023-01-31,10.12,10.8245,10.12,10.45,10.45,3795,0.0
4,2022-12-30,9.95,10.12,9.95,10.12,10.12,494,0.0
5,2022-11-30,9.95,9.95,9.95,9.95,9.95,531,0.0
6,2022-10-31,9.97,10.05,9.95,9.95,9.95,49256,0.0
7,2022-09-30,9.96,9.995,9.96,9.995,9.995,943,0.0
8,2022-08-31,10.0,10.0,9.87,9.96,9.96,2620,0.0
9,2022-07-29,9.93,10.01,9.93,10.01,10.01,8844,0.0
10,2022-06-30,9.98,9.98,9.93,9.93,9.93,524,0.0
11,2022-05-31,10.02,10.02,9.96,9.98,9.98,1616,0.0
12,2022-04-29,9.87,10.02,9.87,10.02,10.02,3319,0.0
13,2022-03-31,9.9,9.9,9.83,9.87,9.87,7061,0.0
14,2022-02-28,10.0,10.02,9.87,9.87,9.87,4282,0.0
15,2022-01-31,10.1,10.18,9.82,9.82,9.82,19042,0.0
16,2021-12-31,10.03,10.155,9.91,10.03,10.03,95209,0.0
17,2021-11-30,9.9,10.53,9.88,10.03,10.03,2083455,0.0
18,2021-10-29,9.97,9.99,9.8,9.9,9.9,561794,0.0
19,2021-09-30,9.94,9.97,9.8147,9.92,9.92,3086111,0.0
